dataset_source,repo_name,blob_commit,blob_relative_path,repo_dir,error_record_count,current_error_record_count,parent_error_record_count,first_observed_time,last_observed_time,observed_treatment_periods,py311_error_types,py311_error_signatures,py311_fstring_error,source_bytes,source_encoding,content_sha256,py312_parse_success,py312_recovered,py312_error_type,py312_error
control,ArpiarSaundersLab/annsql,0f84dc64bea51c7ce4c1cc115594ca9ce2e79461,src/AnnSQL/AnnSQL.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,1,1,0,2025-02,2025-02,control,SyntaxError,SyntaxError: f-string: expecting '}',1,44989,utf-8,f7b6f9aa78840ce9226b443e9a5a9817dd1c5592785e2183a5dad55b7fe1791e,1,1,,
control,ArpiarSaundersLab/annsql,1976903ba191d829f8f874808f4238f699cecc6d,src/AnnSQL/AnnSQL.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,1,1,0,2025-03,2025-03,control,SyntaxError,SyntaxError: f-string expression part cannot include a backslash,1,74327,utf-8,9d27421da93e50491fc92868de7418d94ba3ed265f13f2de21b79a32d4f89322,1,1,,
control,ArpiarSaundersLab/annsql,22c48870b1199942171c13d680c806052431f4c7,src/AnnSQL/AnnSQL.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,1,1,0,2025-02,2025-02,control,SyntaxError,SyntaxError: f-string: unterminated string,1,25553,utf-8,acc0c35cc4c1c23ade1780430013d7336dd1b8ba554bd3b9bcec61af81c685ef,1,1,,
control,ArpiarSaundersLab/annsql,24ef871389531c6f11bcf495d9fa3832426b29aa,src/AnnSQL/AnnSQL.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,1,1,0,2025-02,2025-02,control,SyntaxError,SyntaxError: f-string: expecting '}',1,72797,utf-8,b7256a7283ca8ce364335e1a9814f9fd7ade046f929e723673c7403a08368995,1,1,,
control,ArpiarSaundersLab/annsql,39393a58df8811a19d450d9402a2f7cf9129a226,src/AnnSQL/AnnSQL.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,1,1,0,2025-02,2025-02,control,SyntaxError,SyntaxError: f-string: expecting '}',1,36086,utf-8,99f9014f5c746bacc63088b01ce6052b93a9e18a1668f5d0772c2396519a7f6b,1,1,,
control,ArpiarSaundersLab/annsql,65c9a04348ec6af3e9eb7d8444174a75cc2ce961,src/AnnSQL/AnnSQL.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,1,1,0,2025-02,2025-02,control,SyntaxError,SyntaxError: f-string: expecting '}',1,28519,utf-8,8e715cb33879252ddc030ab40c93f4c5902103d396b5ace66798485a914abc69,1,1,,
control,ArpiarSaundersLab/annsql,7b80a211466a68b2eebc50e32b2358c1e4586add,src/AnnSQL/AnnSQL.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,1,1,0,2025-02,2025-02,control,SyntaxError,SyntaxError: f-string expression part cannot include a backslash,1,26520,utf-8,d3d8a00bb7c44b7ad7cbc1fd4dfe4496aac790b862925cacd8b52510cfbca7d7,1,1,,
control,ArpiarSaundersLab/annsql,87113918bc5f0f8cc93c8c1ad0307a7acd71aa88,src/AnnSQL/AnnSQL.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,1,1,0,2025-02,2025-02,control,SyntaxError,SyntaxError: f-string: expecting '}',1,38331,utf-8,c36091166a77c2901a98281a1740309bff6a2cfe325b3610a5a0c1b116eb7686,1,1,,
control,ArpiarSaundersLab/annsql,87971c0210b522ddfcf42ca785dc811f1cd915a0,src/AnnSQL/AnnSQL.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,1,1,0,2025-02,2025-02,control,SyntaxError,SyntaxError: f-string: expecting '}',1,44177,utf-8,e962fe8fc69b239336540cd472d2b823c4f155009b9ab519bc9936f76b727893,1,1,,
control,ArpiarSaundersLab/annsql,9e663cc867fe66175e3b13a365f06985b0d66744,src/AnnSQL/AnnSQL.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,1,1,0,2025-02,2025-02,control,SyntaxError,SyntaxError: f-string expression part cannot include a backslash,1,26112,utf-8,6b0bc919341241a963d8af1a89f1c19fb00f25a47ad0f651c359c9a952bdbadc,1,1,,
control,ArpiarSaundersLab/annsql,a489950e2ec8b56fa91763fc9f58aa22e6a3975d,src/AnnSQL/AnnSQL.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,1,1,0,2025-02,2025-02,control,SyntaxError,SyntaxError: f-string: expecting '}',1,39820,utf-8,9231246bd3c8227176184425eec7a1efc8f22f835e6bf49d2cce72762630acf0,1,1,,
control,ArpiarSaundersLab/annsql,b923155daed61164a8f07751d4de68fba1659988,src/AnnSQL/AnnSQL.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,1,1,0,2025-03,2025-03,control,SyntaxError,SyntaxError: f-string: expecting '}',1,72855,utf-8,f9a23d76f9a412498c1b041b2004d7b316873bb7518bf47d532917d551dcd259,1,1,,
control,ArpiarSaundersLab/annsql,bd8412f1649c546da70add702da8a2b3c8b31510,src/AnnSQL/AnnSQL.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,1,1,0,2025-03,2025-03,control,SyntaxError,SyntaxError: f-string expression part cannot include a backslash,1,75369,utf-8,ef20fd0150f13138c74569521e769e450449caecd24f3ecd0155756e5e4927df,1,1,,
control,ArpiarSaundersLab/annsql,cb84450d53f7deca362a1e71a3c7373966989a45,src/AnnSQL/AnnSQL.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,1,1,0,2025-03,2025-03,control,SyntaxError,SyntaxError: f-string: expecting '}',1,74030,utf-8,a3c24ceb1d2a524d89b954db4ab2b7629e450b60c12af4842be232f8e0f8b41f,1,1,,
control,ArpiarSaundersLab/annsql,d3b5f098034e78306a46ce7c587e96d1e36f93bc,src/AnnSQL/AnnSQL.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,1,1,0,2025-03,2025-03,control,SyntaxError,SyntaxError: f-string expression part cannot include a backslash,1,74113,utf-8,09a52add716f672a1c262dad7e236fde2885429bbb38b5595d1c18c31ac57519,1,1,,
